,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,name
32,199,48,48,40,75,42,45,83,75,341,114,29,33,29,69,32,33,73,72,511,9540504
33,203,49,48,39,76,43,44,81,76,336,119,29,36,34,66,30,35,74,73,499,9540504
34,199,46,50,42,81,40,46,79,74,338,118,28,38,33,68,31,35,73,75,496,9540504
35,191,48,49,40,78,43,45,83,77,340,117,29,36,31,68,28,35,74,74,503,9540504
36,204,45,50,38,74,43,46,82,78,334,116,28,36,34,69,31,37,73,74,496,9540504
37,208,47,48,40,78,40,44,80,75,336,122,29,37,33,64,30,35,73,71,501,9540504
38,187,47,47,43,79,40,44,83,77,348,113,29,34,29,66,27,35,74,76,512,9540504
39,187,48,45,41,78,37,41,76,71,370,111,28,34,31,65,29,32,69,69,526,9540504
40,260,58,50,44,72,44,40,72,65,290,155,42,43,36,65,42,37,65,63,447,9540512
41,264,59,49,49,71,44,43,74,68,275,156,41,43,36,64,40,38,71,67,437,9540512
42,277,57,48,43,74,49,42,73,64,267,161,40,43,37,67,41,41,70,68,427,9540512
43,272,57,49,39,71,48,43,76,63,277,154,39,45,37,68,41,38,73,69,433,9540512
44,261,59,51,44,73,45,43,76,63,281,151,40,43,37,67,37,36,71,66,446,9540512
45,268,58,49,44,75,45,42,72,62,279,161,36,44,37,68,37,38,69,68,437,9540512
46,262,56,50,41,72,51,44,74,63,282,153,42,44,35,69,40,38,71,70,434,9540512
47,262,57,51,42,72,47,42,76,64,281,152,37,46,38,67,37,39,69,66,444,9540512
48,264,57,49,45,77,44,42,70,64,283,155,38,43,35,68,38,36,72,67,444,9540512
49,264,55,48,41,76,50,46,80,66,270,141,37,40,37,70,36,41,74,73,447,9540512
50,256,57,50,41,81,48,45,76,65,275,138,37,43,39,72,35,40,73,68,451,9540512
51,266,57,48,44,72,41,42,70,62,294,167,40,44,34,62,40,34,65,61,448,9540512
52,263,57,46,43,77,46,46,76,64,276,144,36,42,38,69,36,38,73,70,450,9540512
53,273,55,48,42,70,41,40,69,62,294,162,41,46,36,62,39,39,66,61,443,9540512
54,260,57,49,44,73,43,41,69,65,293,161,41,42,35,64,39,36,66,64,447,9540512
55,264,55,48,44,72,44,43,72,63,289,160,42,44,35,64,39,37,66,66,444,9540512
56,258,57,47,48,75,42,40,70,64,293,156,42,43,38,61,39,39,67,63,447,9540512
57,247,58,49,50,77,40,44,67,65,298,151,37,42,36,64,39,37,66,64,459,9540512
58,240,56,48,44,74,44,41,70,65,312,154,38,43,34,63,37,36,65,63,464,9540512
59,245,54,47,42,75,40,40,71,67,314,149,37,42,35,62,36,37,65,62,469,9540512
60,250,50,43,36,68,39,39,69,64,337,153,39,38,38,60,33,35,63,62,474,9540547
61,310,47,40,35,65,41,39,64,58,296,199,43,42,31,59,30,34,65,60,431,9540547
62,311,49,42,36,66,41,40,65,58,286,194,41,43,33,59,34,36,68,61,425,9540547
63,311,47,41,38,68,43,42,68,59,277,193,40,40,33,59,34,38,67,66,426,9540547
64,305,52,37,41,72,41,41,64,57,284,193,38,40,34,58,32,39,65,62,435,9540547
65,315,47,39,36,66,44,41,68,57,281,196,39,41,33,59,33,35,67,63,430,9540547
66,315,48,39,36,69,41,41,66,58,281,199,37,39,33,62,33,37,66,62,428,9540547
67,328,46,38,34,62,44,40,67,58,277,199,41,40,36,58,36,38,67,61,419,9540547
68,318,47,39,36,69,42,41,66,59,278,200,37,39,34,60,34,37,67,61,427,9540547
69,316,44,39,33,67,42,41,71,62,280,201,39,41,33,60,35,35,65,64,423,9540547
70,315,47,42,35,65,42,43,68,59,279,197,38,40,33,59,35,38,67,65,424,9540547
71,242,51,45,40,67,40,40,69,63,338,150,37,37,35,62,35,34,64,61,479,9540547
72,318,46,41,35,64,42,42,66,59,281,198,40,39,33,60,35,36,69,64,421,9540547
73,243,50,44,38,67,40,39,70,64,340,153,36,41,35,58,32,34,61,62,482,9540547
74,244,48,43,36,66,41,41,72,63,342,149,36,40,35,59,33,36,63,63,481,9540547
75,247,48,44,39,67,38,41,67,62,342,153,38,42,34,58,32,33,62,61,483,9540547
76,257,47,42,35,63,40,39,72,60,340,153,37,39,35,59,34,36,63,62,475,9540547
77,247,50,44,39,67,36,39,69,62,340,154,36,40,33,61,32,34,64,62,481,9540547
78,267,48,39,41,72,38,38,65,59,327,157,36,39,35,62,34,35,63,63,471,9540547
79,302,47,38,37,68,40,40,66,57,299,192,40,41,30,64,31,33,61,58,446,9540547
80,137,39,42,34,77,31,40,79,79,437,98,19,29,23,62,18,26,59,63,598,9540563
81,170,43,43,35,80,37,44,78,77,387,109,22,30,24,66,20,30,66,70,559,9540563
82,177,42,45,35,79,37,48,84,76,371,106,22,31,28,69,21,32,69,72,545,9540563
83,171,45,46,36,82,40,47,81,76,370,103,22,31,28,69,23,31,69,73,544,9540563
84,180,45,42,37,82,37,47,80,73,373,110,23,31,26,67,22,30,68,70,548,9540563
85,173,46,45,38,82,38,46,82,77,368,103,21,32,27,70,21,32,70,71,547,9540563
86,172,44,45,38,84,38,47,80,77,371,105,23,33,27,68,23,32,68,72,545,9540563
87,179,43,45,36,79,40,53,81,76,363,104,22,33,28,69,23,33,71,71,540,9540563
88,180,42,45,37,79,38,49,80,75,369,106,22,30,28,69,22,33,67,72,545,9540563
89,174,43,44,36,83,43,48,81,74,367,105,22,31,25,68,22,33,69,73,547,9540563
90,144,38,42,37,81,34,43,77,77,422,101,20,27,26,64,21,28,65,65,578,9540563
91,168,43,47,35,81,40,49,82,76,374,106,24,31,29,69,20,33,69,71,544,9540563
92,157,39,44,36,78,32,45,78,72,414,102,21,29,25,65,22,29,67,64,572,9540563
93,170,42,44,39,84,32,35,65,65,419,108,26,35,30,67,24,32,64,64,545,9540563
94,188,46,49,40,77,40,44,77,74,360,112,27,37,32,68,29,35,68,72,514,9540563
95,162,40,40,37,87,27,32,60,61,449,112,25,30,29,70,26,26,57,61,559,9540563
96,157,39,39,35,86,34,39,76,73,417,101,20,28,24,69,19,28,62,64,580,9540563
97,160,41,42,33,83,37,44,80,75,398,103,21,28,24,65,19,28,66,69,570,9540563
98,166,41,40,35,84,34,45,80,77,393,105,21,30,26,66,20,31,68,68,561,9540563
99,239,52,48,40,66,42,41,70,64,335,151,37,43,35,59,37,35,65,61,472,9540601
100,221,51,46,41,73,43,39,70,66,345,135,34,42,32,63,33,33,68,65,490,9540601
101,203,51,47,41,78,40,39,75,67,352,128,31,38,32,68,32,30,67,67,503,9540601
102,210,48,46,40,74,40,40,76,70,351,126,31,38,34,67,31,32,68,68,500,9540601
103,203,49,51,40,74,42,42,77,72,344,125,29,38,33,70,32,33,67,70,498,9540601
104,205,51,51,40,74,40,43,77,70,345,125,31,41,33,67,31,33,71,70,493,9540601
105,213,48,47,37,72,44,42,77,73,342,136,28,39,30,66,31,34,69,70,492,9540601
106,203,49,51,39,73,42,42,78,74,344,129,28,39,32,67,30,32,67,72,498,9540601
107,213,49,47,37,73,42,40,81,74,339,134,31,41,30,66,29,31,70,70,494,9540601
108,213,50,49,39,69,42,41,78,72,341,134,31,41,31,66,29,31,70,70,493,9540601
109,209,47,47,39,71,46,41,81,73,341,127,30,37,32,67,31,34,72,68,497,9540601
110,239,52,46,40,64,42,38,71,64,339,156,39,43,35,59,37,33,61,60,471,9540601
111,204,51,49,39,74,43,40,80,71,344,130,29,38,32,66,30,32,69,68,501,9540601
112,230,51,46,41,65,43,40,73,64,340,146,36,43,35,60,37,36,63,62,478,9540601
113,232,50,46,41,67,41,40,70,64,344,152,36,42,32,61,38,35,64,61,474,9540601
114,232,50,47,38,64,43,39,73,65,344,143,38,43,33,60,38,36,65,64,475,9540601
115,232,53,49,41,64,40,38,71,66,341,145,37,41,35,63,39,36,62,61,475,9540601
116,228,52,48,42,68,42,38,68,66,342,146,36,43,36,59,36,35,64,63,477,9540601
117,224,52,48,42,66,41,40,71,65,347,140,34,45,37,61,38,35,62,63,481,9540601
118,229,49,46,41,70,39,37,63,62,357,143,35,41,32,62,40,36,63,62,482,9540601
119,159,34,37,28,70,36,37,78,73,443,107,22,27,22,59,20,26,63,63,588,9540628
120,170,37,39,29,74,38,37,78,74,419,105,24,30,24,60,27,27,67,66,565,9540628
121,174,38,39,29,71,37,38,79,72,419,110,23,29,24,61,26,29,65,64,565,9540628
122,172,38,39,32,71,36,37,83,70,417,111,24,28,23,61,24,28,65,62,569,9540628
123,168,37,38,31,75,34,39,77,73,425,111,22,28,22,61,23,27,64,65,571,9540628
124,170,35,39,30,74,35,38,78,74,424,113,22,29,21,58,24,25,65,62,574,9540628
125,168,37,41,31,75,38,36,79,69,422,111,23,30,22,61,23,27,66,65,568,9540628
126,169,36,39,31,74,37,39,80,72,418,108,24,29,22,60,25,27,66,66,568,9540628
127,169,36,41,31,74,34,40,78,70,420,110,22,29,22,61,22,28,67,62,571,9540628
128,173,36,40,31,71,38,38,79,71,419,108,24,30,23,63,26,27,66,62,566,9540628
129,176,37,40,30,74,37,38,76,72,416,111,25,28,23,62,22,29,66,63,565,9540628
130,153,30,38,28,69,34,37,78,71,455,111,20,26,20,57,19,25,64,59,594,9540628
131,172,36,40,28,73,39,36,80,72,419,112,24,29,23,61,24,26,65,63,569,9540628
132,154,34,38,28,70,36,36,79,72,449,106,22,25,21,58,19,24,64,64,591,9540628
133,151,32,39,29,77,31,32,76,69,459,108,22,26,18,60,19,23,64,64,591,9540628
134,155,30,39,26,71,36,40,85,77,435,104,21,27,21,58,22,27,67,66,583,9540628
135,135,32,36,30,84,30,30,72,69,477,91,21,26,22,60,16,21,63,62,613,9540628
136,162,36,36,29,75,36,33,78,71,440,100,25,28,22,60,21,27,68,66,579,9540628
137,170,35,38,29,76,34,35,79,72,428,111,24,27,21,63,20,26,65,63,576,9540628
138,163,36,39,31,75,36,35,77,72,430,108,22,29,21,62,24,28,62,64,574,9540628
139,243,56,49,45,67,40,38,65,62,331,162,39,43,34,52,39,33,60,57,475,9540636
140,229,51,47,41,72,40,38,67,62,348,150,38,39,32,60,36,34,60,58,488,9540636
141,228,48,45,40,78,40,31,58,56,371,153,34,37,32,60,34,30,58,58,499,9540636
142,240,46,45,38,70,42,39,65,66,346,145,36,39,31,59,34,35,67,66,484,9540636
143,252,50,47,40,78,43,37,66,64,319,147,37,45,33,60,38,35,72,68,460,9540636
144,263,54,50,40,70,50,41,76,63,287,149,36,45,35,65,40,39,72,70,443,9540636
145,229,53,50,43,74,49,41,74,67,314,131,37,45,34,62,36,38,73,73,467,9540636
146,250,51,47,42,69,46,42,74,65,310,146,36,42,34,61,34,40,73,66,463,9540636
147,240,52,48,41,70,47,44,71,68,315,138,35,42,32,62,35,38,73,70,469,9540636
148,251,51,48,37,68,46,44,74,64,313,143,37,45,35,63,36,37,70,67,463,9540636
149,242,57,49,41,72,46,41,72,67,308,143,36,42,34,63,34,38,70,66,470,9540636
150,244,55,49,45,68,39,36,64,62,333,161,40,43,33,53,42,35,61,56,471,9540636
151,238,55,48,42,71,46,42,72,66,316,139,33,42,33,65,35,37,70,68,473,9540636
152,234,56,51,46,69,42,37,65,63,331,154,36,44,36,57,40,36,58,57,477,9540636
153,242,55,47,46,65,42,39,64,62,334,164,38,41,35,50,41,34,59,57,476,9540636
154,254,52,45,41,63,44,35,66,60,334,167,38,45,34,52,41,36,59,57,468,9540636
155,253,55,49,41,64,42,36,65,63,328,167,41,44,34,53,40,34,59,57,465,9540636
156,253,54,51,42,63,48,39,66,65,314,159,42,47,34,55,44,36,61,60,457,9540636
157,268,53,47,41,64,42,36,66,62,316,169,39,46,33,55,43,34,61,59,456,9540636
158,250,56,46,45,72,39,29,52,52,354,160,41,45,34,57,39,32,57,53,475,9540636
159,196,47,43,42,78,37,41,73,69,369,135,30,36,29,58,30,31,65,66,515,9540644
160,240,50,48,39,76,43,44,78,70,307,153,32,40,31,64,32,35,73,71,465,9540644
161,237,46,43,40,76,46,46,79,69,314,150,32,37,31,64,31,35,73,69,472,9540644
162,246,46,46,36,72,43,45,79,68,312,147,34,37,33,64,36,37,74,70,465,9540644
163,230,47,44,38,73,44,45,78,71,325,143,33,37,30,63,32,36,72,70,479,9540644
164,242,46,44,35,72,43,43,77,69,325,147,33,37,31,65,32,35,71,69,475,9540644
165,238,46,43,41,75,41,42,70,68,332,148,33,38,29,60,33,36,69,66,482,9540644
166,241,42,41,39,73,39,41,71,66,343,159,31,35,27,59,33,33,65,63,489,9540644
167,231,51,43,39,72,37,39,68,64,351,148,32,36,27,61,30,33,67,62,497,9540644
168,241,44,41,35,71,40,40,72,66,344,155,33,33,30,59,30,34,65,64,491,9540644
169,234,45,41,36,71,38,41,75,65,348,153,33,34,30,62,30,33,67,64,489,9540644
170,197,47,46,42,75,38,44,75,71,360,135,30,35,29,59,31,33,71,66,507,9540644
171,241,43,41,33,72,39,38,73,66,349,155,32,36,28,60,32,32,66,63,490,9540644
172,188,46,47,42,75,39,44,74,72,367,128,29,34,30,61,32,32,70,69,513,9540644
173,198,46,47,40,74,37,42,75,72,365,132,30,37,30,59,30,32,66,67,512,9540644
174,185,49,47,46,76,37,42,76,74,364,125,27,34,31,62,32,34,66,68,515,9540644
175,200,48,48,40,81,39,39,73,69,358,130,31,39,29,61,30,33,70,68,504,9540644
176,256,50,46,41,79,41,40,70,63,307,154,36,42,34,69,34,35,71,65,454,9540644
177,258,47,43,39,82,39,37,62,61,326,159,35,41,33,64,34,33,70,68,459,9540644
178,242,52,48,42,76,43,43,76,69,304,148,35,40,33,66,31,35,75,73,458,9540644
179,147,37,43,33,76,34,42,84,79,419,96,19,28,28,64,18,29,66,68,579,9540652
180,159,39,44,31,77,37,42,84,82,401,97,25,29,25,67,21,29,70,70,562,9540652
181,157,39,45,30,76,35,43,87,77,405,97,23,31,27,68,20,28,71,74,555,9540652
182,152,39,46,34,80,36,44,85,81,399,99,25,32,25,69,21,28,70,71,557,9540652
183,158,39,45,31,80,39,42,86,82,392,99,22,31,27,70,20,28,74,74,550,9540652
184,162,40,46,34,78,36,43,82,80,393,102,25,34,25,67,20,28,71,73,551,9540652
185,158,40,44,33,80,37,44,87,78,393,100,24,31,27,69,20,28,70,70,557,9540652
186,158,40,43,33,78,38,43,88,80,393,100,23,31,26,69,21,27,74,71,553,9540652
187,162,40,43,35,76,37,43,88,80,392,102,24,32,27,69,21,30,73,72,545,9540652
188,168,38,42,32,76,38,42,85,80,394,103,26,32,27,67,20,29,70,73,548,9540652
189,181,39,41,31,79,36,41,83,77,386,108,25,31,27,70,23,28,69,70,544,9540652
190,147,38,43,33,76,33,43,81,78,422,97,21,28,27,67,19,28,65,66,577,9540652
191,178,39,41,30,79,37,40,86,76,389,112,25,32,26,69,20,27,67,69,548,9540652
192,147,37,42,31,76,34,39,84,79,427,96,23,30,25,65,18,27,66,66,579,9540652
193,150,38,42,32,73,33,40,85,80,423,99,23,29,25,65,17,27,68,68,575,9540652
194,144,38,42,34,80,32,40,84,79,422,94,22,29,25,66,16,26,67,67,581,9540652
195,145,38,44,33,77,32,38,84,80,423,97,22,28,26,64,20,27,68,66,577,9540652
196,140,37,43,33,77,35,41,85,80,423,94,20,28,25,67,17,25,67,71,581,9540652
197,140,40,44,33,78,33,41,86,81,420,91,21,29,27,67,17,26,68,70,579,9540652
198,148,40,42,35,81,36,41,86,79,405,94,23,33,28,71,19,28,71,69,560,9540652
199,171,36,39,32,68,32,36,74,73,435,112,25,33,27,58,23,27,64,64,562,9540687
