,0,1,2,3,4,5,6,7,8,9,name
105,76,98,59,73,90,79,41,93,71,317,9540601
106,74,102,55,74,91,78,41,93,72,316,9540601
107,75,100,57,73,90,79,43,92,73,314,9540601
108,73,103,56,71,89,77,45,90,73,319,9540601
109,74,102,57,73,89,81,42,90,71,317,9540601
110,73,100,57,73,81,68,46,93,77,328,9540601
111,74,100,58,74,90,77,44,91,69,318,9540601
112,71,102,55,74,77,69,45,91,77,335,9540601
113,73,98,57,73,80,70,45,91,77,331,9540601
114,74,101,57,72,80,67,47,94,74,330,9540601
115,74,98,56,74,75,67,44,94,75,338,9540601
116,72,100,59,72,81,66,45,93,77,328,9540601
117,70,101,58,75,76,67,42,94,76,335,9540601
118,71,97,59,75,88,73,44,95,72,320,9540601
119,69,106,63,75,94,69,36,91,75,317,9540628
120,66,104,66,78,99,72,41,86,73,309,9540628
121,66,102,66,79,99,74,42,87,73,306,9540628
122,66,100,65,80,99,73,41,90,72,310,9540628
123,68,102,65,76,98,72,39,88,74,314,9540628
124,67,102,64,77,100,73,41,90,72,310,9540628
125,66,101,67,77,100,72,43,88,72,309,9540628
126,66,101,65,81,101,72,43,87,72,307,9540628
127,66,101,68,79,101,72,42,88,71,308,9540628
128,66,102,66,79,99,72,43,88,72,307,9540628
129,65,106,65,77,102,70,44,91,71,305,9540628
130,68,107,61,76,95,69,36,92,73,317,9540628
131,65,102,66,81,101,72,42,89,70,305,9540628
132,69,106,59,74,94,69,38,91,74,322,9540628
133,70,104,59,76,100,69,39,87,75,317,9540628
134,69,102,62,76,98,67,38,86,76,321,9540628
135,68,104,63,85,96,70,37,86,72,315,9540628
136,74,106,62,73,89,59,32,91,80,330,9540628
137,72,107,61,73,87,60,35,91,81,330,9540628
138,69,103,64,78,93,73,41,90,73,312,9540628
139,77,101,51,61,72,65,39,99,84,345,9540636
140,74,101,57,71,86,70,41,95,81,320,9540636
141,75,96,59,70,86,76,39,95,80,318,9540636
142,68,95,60,87,105,86,38,90,70,296,9540636
143,65,89,63,88,119,93,41,84,67,284,9540636
144,64,96,64,86,111,92,43,86,68,285,9540636
145,66,95,67,87,109,89,41,83,70,289,9540636
146,66,88,65,88,120,87,43,83,68,288,9540636
147,66,93,62,86,111,88,42,87,67,293,9540636
148,65,89,65,85,114,88,44,85,68,292,9540636
149,65,93,62,86,113,88,43,89,67,289,9540636
150,76,103,49,63,72,66,38,94,86,348,9540636
151,65,94,62,84,114,87,42,86,67,293,9540636
152,78,100,51,59,74,65,36,96,85,349,9540636
153,77,101,52,60,71,65,40,98,84,346,9540636
154,77,100,51,62,71,66,40,96,86,346,9540636
155,78,100,53,61,72,65,39,96,85,347,9540636
156,79,96,52,63,78,66,40,90,86,343,9540636
157,75,98,52,66,79,65,36,94,87,343,9540636
158,75,95,54,69,92,72,40,91,79,328,9540636
159,77,105,52,64,71,66,38,92,82,347,9540644
160,76,96,59,69,85,72,41,91,83,323,9540644
161,76,99,60,69,80,69,42,93,86,320,9540644
162,76,103,58,68,75,68,43,94,84,327,9540644
163,76,102,58,64,74,67,42,92,86,332,9540644
164,76,103,56,64,76,69,42,92,87,330,9540644
165,77,107,57,68,70,71,43,97,87,319,9540644
166,75,101,58,66,77,73,43,95,84,323,9540644
167,74,100,61,66,77,66,42,94,86,327,9540644
168,76,102,59,65,75,69,43,94,86,325,9540644
169,75,101,64,65,70,67,41,96,87,329,9540644
170,74,108,56,61,67,63,39,97,83,347,9540644
171,75,101,63,65,75,64,41,96,85,331,9540644
172,76,105,53,63,68,65,39,94,83,348,9540644
173,73,108,55,62,68,66,38,93,83,350,9540644
174,78,108,51,57,61,64,37,95,84,359,9540644
175,77,108,56,59,68,65,38,95,84,346,9540644
176,74,105,56,54,71,68,40,99,88,339,9540644
177,77,102,55,60,75,70,42,97,87,330,9540644
178,76,96,60,69,79,72,41,90,84,327,9540644
179,69,106,64,79,85,67,40,92,74,319,9540652
180,70,102,69,83,92,66,43,88,74,307,9540652
181,69,100,68,82,91,67,42,89,74,312,9540652
182,69,101,71,82,92,69,40,89,75,308,9540652
183,70,99,71,81,95,70,41,88,74,306,9540652
184,70,99,69,82,96,69,42,90,74,304,9540652
185,68,99,70,83,96,69,42,88,76,304,9540652
186,70,98,68,83,97,70,39,89,75,306,9540652
187,70,100,68,80,94,67,38,89,77,312,9540652
188,68,100,71,79,104,69,37,90,76,302,9540652
189,67,98,69,88,109,74,43,88,72,287,9540652
190,71,105,63,77,84,66,39,93,76,322,9540652
191,67,95,74,82,115,75,43,89,70,286,9540652
192,69,107,62,75,82,67,41,90,76,325,9540652
193,68,107,64,77,82,66,41,90,77,322,9540652
194,68,104,66,79,87,66,41,92,73,318,9540652
195,71,103,65,78,83,64,41,90,75,324,9540652
196,72,101,69,79,88,63,41,88,75,318,9540652
197,71,101,67,86,88,63,39,91,75,313,9540652
198,71,99,69,83,91,69,42,89,72,310,9540652
199,73,102,60,74,83,76,39,92,73,324,9540687
